id,score
1,137.5
2,131.1666667
3,125.8333333
4,99.33333333
5,67.83333333
6,171.8333333
7,136.1666667
8,139.5
9,114
10,153.3333333
11,82.16666667
12,125
13,94
14,116.3333333
15,134
16,126.6666667
17,104.3333333
18,134.3333333
19,153.5
20,142.5
21,91
22,136
23,119.1666667
24,158
25,71
26,141.6666667
27,145.3333333
28,154.8333333
29,122.3333333
